NPSN,Nama Sekolah,Telpon,Email,Akreditasi,Total Peserta Didik,Total Pendidik,Naungan,Kabupaten,Kecamatan,Alamat
10220817,SD SWASTA ANUGERAH HARAPAN BANGSA,0616841514,anugerah_harapanbangsa@yahoo.com,A,409,28,YPK ANUGERAH HARAPAN BANGSA MEDAN,KOTA MEDAN,KEC. MEDAN MARELAN,JL. A.M.D LINGKUNGAN 22 GG. SERASI
69883656,SD SWASTA JABAL RAHMAH MULIA,061411166,sdpjabalrahmahmulia@gmail.com,A,690,48,YAYASAN JABAL RAHMAH MULIA,KOTA MEDAN,KEC. MEDAN SUNGGAL,JALAN BALAI DESA NO. 24 H
69964734,SD SWASTA PUTRA LANGKAT,085297244453,sdputralangkat@gmail.com,B,191,9,YAYASAN PENDIDIKAN TELAGA SAID,KAB. LANGKAT,KEC. SEI LEPAN,JL.KRAMAT JAYA DUSUN II
70056178,SD PLUS AL QUSYAIRI,082163000261,sekolahdasarplusalqusyairi@gmail.com,,36,6,YAYASAN PENDIDIKAN ISLAM KHADIJAH AL QUSYAIRI,KAB. BATU BARA,KEC. AIR PUTIH,DUSUN KELEMBIS
70005275,SD SWASTA ISTANA HATI BINJAI,,sdistanahatibinjai@gmail.com,B,234,15,YAYASAN ISTANA HATI KITA,KOTA BINJAI,KEC. BINJAI UTARA,"JALAN AR. HAKIM LK. III, KEL. NANGKA, KEC. BINJAI UTARA, KOTA BINJAI"
10203038,SD SWASTA AL WAHSLIYAH,085296351914,sdalwashliyah29@gmail.com,B,124,8,PERGURUAN ALWASHLIYAH BAHAL BATU,KAB. SIMALUNGUN,KEC. BOSAR MALIGAS,PARBUTARAN
10213677,SDRK ST PAULUS RAMUNIA,081377277068,sdrkstpaulusramunia@gmail.com,B,217,14,YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN,KAB. DELI SERDANG,KEC. BERINGIN,DUSUN IX HUTA BANGUN I
10259491,SD SWASTA JAYA,0618368911,sdsjayapancurbatu@gmail.com,B,356,20,YAYASAN PENDIDIKAN JAYA,KAB. DELI SERDANG,KEC. PANCUR BATU,JL DAGANG NO 32
10220693,SDS IT AL FAUZI,0617873915,alfauzi.sdit@gmail.com,A,137,11,YPI AL-FAUZI,KOTA MEDAN,KEC. MEDAN AMPLAS,JL GARU II A GG NUSA INDAH NO 59 G
69979227,SD SWASTA FONTEM ACADEMY,081360606688,enquiry@fontemacademy.com,A,120,11,YAYASAN TARUNA BANGSA CITRA JAYA ABADI,KOTA MEDAN,KEC. MEDAN POLONIA,JL. PADANG GOLF/KOMP.CBD BLOK. BB NO. 34-41
69944645,SD SWASTA ISLAM AZHARI,085275505904,fakhry.nugraha.fn@gmail.com,B,519,23,CAHAYA AZHARI,KOTA MEDAN,KEC. MEDAN MARELAN,JL. MARELAN V PASAR 2 BARAT LING. 16 GG. SURIA
10259610,SD 007 NU SIBARUANG,,sdnusibaruang@yahoo.com,C,43,9,SDS 007  NU SIBARUANG,KAB. MANDAILING NATAL,KEC. SIABU,SIBARUANG
69900047,SD SWASTA BINA ARTHA MAHKOTA,082363567200,sdsbinaarthamahkota307@gmail.com,B,606,23,SD SWASTA BINA ARTHA MAHKOTA,KAB. MANDAILING NATAL,KEC. NATAL,PT RIMBA MUJUR MAHKOTA
10210617,SDS ISLAM AZIZI,,sdislamazizimp@gmail.com,B,72,11,,KOTA MEDAN,KEC. MEDAN PERJUANGAN,JL. KESATRIA NO.70 MEDAN
10215131,SDIT DELI INSANI,06142702229,deliinsani.sdit@gmail.com,B,360,23,DELI INSANI,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,JL DAHLAN TANJUNG GG PAYA PASIR NO 16
69992944,SD SWASTA SANGKARA,06182821111,adminyayasan@sangkaraschool.com,A,275,32,YAYASAN PENDIDIKAN NASIONAL SANGKARA,KOTA MEDAN,KEC. MEDAN SUNGGAL,JL ABADI NO 20.A
10259302,SDS AL WASHLIYAH TIMBANG DELI,081396572400,sdalwashliyahtimbangdeli@gmail.com,B,133,8,PERKUMPULAN AL JAMI'ATUL WASHLIYAH,KOTA MEDAN,KEC. MEDAN AMPLAS,JL.PERTAHANAN NO 46
10210262,SD SWASTA AL-ITTIHADIYAH,0617363699,alittihadiyahsd@gmail.com,B,92,10,YAYASAN AMAL DAN SOSIAL PANTI ASUHAN MAMIYAI AL ITTIHADIYAH,KOTA MEDAN,KEC. MEDAN AREA,JL.BROMO NO 25 MEDAN
10213576,SD SWASTA ADE IRMA SURYANI,081265406281,sdadeirmasuryani@yahoo.co.id,B,69,12,YAYASAN PENDIDIKAN ATMANEGARA,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. SUGENG DUSUN IX PASAR XI
69977423,SD ISLAM TERPADU NUR - AL MUBAROK,082167698551,smpitnuralmubarok@gmail.com,B,384,26,YAYASAN PENDIDIKAN ISLAM TERPADU NUR-AL MUBAROK,KAB. LABUHANBATU UTARA,KEC. NA. IX-X,JALAN KOBUL RIDA
10203024,SD ALWASLIYAH,085361075712,sdalwashliyah@gmail.com,B,163,13,AL JAMI'YATUL WASHLIYAH,KAB. SIMALUNGUN,KEC. TAPIAN DOLOK,JALAN MEDAN KM 10
69966028,SD SWASTA PRISKILA MARIS,082373951777,sdspriskilamaris@gmail.com,A,96,15,YAYASAN PRISKILA MARIS AGUNG,KAB. DELI SERDANG,KEC. GALANG,JL. MAWAR I/36 (BELAKANG PLN) GALINDA
69919685,SDS IT AL MUNADI,081337229541,sditalmunadi12@gmail.com,B,662,44,YAYASAN WAKAF AL MUNADI,KOTA MEDAN,KEC. MEDAN MARELAN,JL. MARELAN IX PASAR I GG. TRI BAKTI
10210636,SD SWASTA HKBP PADANG BULAN,,sds.hkbp.pbulan@gmail.com,B,123,11,YAYASAN PENDIDIKAN HKBP PADANG BULAN MEDAN,KOTA MEDAN,KEC. MEDAN SELAYANG,JL. JAMIN GINTING GG. GEREJA NO. 24
10220631,SD AL WASHLIYAH 48 CEMPEDAK LOBANG,081376725944,sdaw48_cemplobang@yahoo.co.id,B,239,13,AL JAM'IYATUL WASHLIYAH,KAB. SERDANG BEDAGAI,KEC. SEI RAMPAH,JL. PENDIDIKAN
69935284,SD IT BINIKA,085270286783,sditbhinikaseilepan@gmail.com,C,123,8,BINIKA LANGKAT,KAB. LANGKAT,KEC. SEI LEPAN,DUSUN V SUKARAMAI
10210330,SDS BUNDO KANDUNG,085360477507,sdsbundakandung@gmail.com,C,89,10,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA MEDAN,KOTA MEDAN,KEC. MEDAN POLONIA,JL.STARBAN GG. IMAM MEDAN
69888873,SD SWASTA IT MAWADDAH WAROHMAH,0616636749,sditmawaddahwarohmah@gmail.com,A,197,21,YAYASAN MAWADDAH WAROHMAH MEDAN,KOTA MEDAN,KEC. MEDAN BARAT,JALAN KARYA SETUJU NO. 5
69790729,SD SWASTA WTP SCHOOL,082276969633,wtpschool1@gmail.com,A,245,12,YAYASAN PANCA NARAWANGSA,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,"JL. DAHLAN TANJUNG KOMPLEK ABADI NO. 13,14,15,16,17C"
70013405,SD SWASTA ISLAM TERPADU AN-NUR,082276696726,,B,48,8,YAYASAN PERGURUAN ANNUR,KAB. SIMALUNGUN,KEC. GUNUNG MALIGAS,JL. PENDIDIKAN NO.2
10212463,SD SWASTA XAVERIUS PADANGSIDIMPUAN,063423431,sdxaveriuspadangsidimpuan@yahoo.co.id,A,440,22,YAYASAN BUDI BAKTI KEUSKUPAN SIBOLGA,KOTA PADANG SIDEMPUAN,KEC. PADANG SIDIMPUAN SELATAN,JL. DANAU SINGKARAK NO.52
10220815,SDS DWI WARNA 3,,dwiwarna3@yahoo.com,B,,0,PENDIDIKAN DAN SOSIAL DWIWARNA,KOTA MEDAN,KEC. MEDAN MAIMUN,JL. TERATAI
10209003,SD SW. ST MIKHAEL PANGURURAN,,sdsantomikhael@gmail.com,A,752,28,YAYASAN PENDIDIKAN KATOLIK SANTO YOSEPH MEDAN,KAB. SAMOSIR,KEC. PANGURURAN,JL.USKUP AGUNG SUGIYOPRANOTO PANGURURAN
10212806,SD SWASTA  AL ITTIHADIYAH BOSAR MALIGAS,,sd.alittihadiyahdspengkolan@gmail.com,B,186,3,AL-IITIHADIYAH,KAB. SIMALUNGUN,KEC. BOSAR MALIGAS,BOSAR MALIGAS
69963982,SD PLUS CAHAYA BANGSA,082362532893,tarihoranhasudungan9@gmail.com,B,,0,,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL. KERUNTUNG NO. 97
69961894,SD IT ROBBANI,081376740678,sditrabbani481@gmail.com,B,185,21,YAYASAN TARBIYYATUL INSAN ROBBANI,KAB. PADANG LAWAS,KEC. HUTA RAJA TINGGI,JALAN MESJID TAQWA RT 09 RW 02 DESA UJUNG BATU I
10215112,SD AMANAH I,80440696,perguruan.amanah@gmail.com,A,210,14,YAYASAN PENDIDIKAN DAN SOSIAL HELVETIA,KAB. DELI SERDANG,KEC. SUNGGAL,JL. KAPTEN SUMARSONO NO.178
10258053,SDS AL AZHAR 1,06188369568,al-azharmedan84@yahoo.com,A,294,26,YAYASAN HAJJAH RACHMAH NASUTION,KOTA MEDAN,KEC. MEDAN JOHOR,JL. PINTU AIR IV NO. 214 KWALA BEKALA
69856943,SDIT LUQMANUL HAKIM,081260277211,luqmanulhakimsdit1@gmail.com,B,595,34,SABILURRASYAAD,KAB. DELI SERDANG,KEC. SUNGGAL,JL. SEI MENCIRIM DUSUN I - A
10261308,SDS GRAHA KIRANA,0617362453,sd_grahakirana2008@yahoo.com,C,,0,YAYASAN PENDIDIKAN GRAHA KIRANA,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL. AMPERA NO. 17 A
69967010,SD IT FATIMAH,085297169991,sditfatimahbesitang@gmail.com,A,171,9,YAYASAN PENDIDIKAN FATIMAH BESITANG,KAB. LANGKAT,KEC. BESITANG,JL.SUDIRMAN GG. CEMPAKA LINGK.VIII
10210625,SD SWASTA GAJAH MADA,0614514978,sdgajahmada19@gmail.com,A,129,13,YAYASAN PERGURUAN GAJAH MADA SUMATERA UTARA,KOTA MEDAN,KEC. MEDAN TIMUR,JL. H.M. SAID NO.19 MEDAN
70004257,SD SWASTA IT AL-MAKSUM,082273039174,,C,98,11,YAYASAN PENDIDIKAN AL MAKSUM SUNGGAL,KAB. DELI SERDANG,KEC. SUNGGAL,JL. SEI MENCIRIM DUSUN II
10211833,SD MUHAMMADIYAH 02,,sd.swastamuhammadiyah@yahoo.com,B,124,11,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA PEMATANGSIANTAR,KOTA PEMATANGSIANTAR,KEC. SIANTAR SITALASARI,JL.  K.H. AHMAD DAHLAN  NO. 47
69991300,SD IT DARUL AMIN,085275757579,sditdar@gmail.com,B,193,17,YAYASAN PENDIDIKAN ISLAM MUHAMMAD YAMIN LANGKAT,KAB. LANGKAT,KEC. WAMPU,DSN. TANAH X PASAR 1
10258020,SD SWASTA PELITA KASIH SCHOOL,0617943331,rajedhillon_2183@yahoo.co.id,B,275,15,YAYASAN PELITA KASIH ANUGERAH TANJUNG MORAWA,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,"JLN. RAYA MEDAN - TANJUNG MORAWA , GG. TELKOM NO.172 B LIMAU MANIS"
70032065,SD SWASTA ISLAM TERPADU QURAN PETATAL,085297323665,sditquranpetatal25@gmail.com,,74,10,YAYASAN DARUS SALAM BATU BARA,KAB. BATU BARA,KEC. DATUK TANAH DATAR,DUSUN VI
10213680,SDSABILINA,06177200015,sd_sabilinasekolahku@yahoo.com,A,460,29,YAYASAN PENDIDIKAN SABILINA,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL SABILINA PASAR VII
10211881,SD BUDI MULIA-1,,budimuliasatu@gmail.com,A,418,22,YAYASAN BUDI MULIA LOURDES,KOTA PEMATANGSIANTAR,KEC. SIANTAR MARIHAT,JL.MELANTHON SIREGAR NO.161
10210624,SDS GAJAH MADA 2,0617359643,gajahmada2medan@yahoo.co.id,B,,0,YAYASAN PERGURUAN GAJAH MADA SUMUT,KOTA MEDAN,KEC. MEDAN DENAI,JALAN SETIA NO. 32 MEDAN
70013930,SD SWASTA  ANUGRAH,081270393681,sdanugrah9@gmail.com,B,308,18,YAYASAN KASIH ANUGRAH SCHOOL,KAB. KARO,KEC. MEREK,JLN. PEMATANG SIANTAR - MEREK
69757357,SD SWASTA ISLAM TERPADU MUTIARA ILMU,082267254052,sditmutiarailmu@gmail.com,C,386,27,AL-USWAH SUMUT,KAB. LANGKAT,KEC. KUALA,"LINGK IV KELURAHAN BELA RAKYAT, KECAMATAN KUALA,    KABUPATEN LANGKAT"
10258855,SD SWASTA ASISI FODO,082294405861,fodoassisi@gmail.com,A,241,12,YAYASAN PUTERI HATI KUDUS,KOTA GUNUNGSITOLI,KEC. GUNUNGSITOLI SELATAN,JL. ALOOA
10204363,SD SWASTA COKROAMINOTO,081375616269,sdcokroaminoto@yahoo.co.id,B,124,14,YAYASAN PERGURUAN ISLAMIYAH COKROAMINOTO,KAB. ASAHAN,KEC. KISARAN TIMUR,JLN. WIRA KARYA
69728377,SD S 396 ISLAM TERPADU AL HUSNAYAIN,081265316796,sdit@alhusnayain.sch.id,B,360,33,ALHUSNAYAIN,KAB. MANDAILING NATAL,KEC. PANYABUNGAN,JL. WILLEM ISKANDER / NUSANTARA II
10210610,SDS LAKSAMANA MARTADINATA,0616619100,tiamsa_saragih@yahoo.com,A,326,16,YAYASAN PERGURUAN LAKS. MARTADINATA,KOTA MEDAN,KEC. MEDAN BARAT,JL. PERTEMPURAN NO. 125
10212813,SD SWASTA METHODIST PERDAGANGAN,062296194,sdsmethodist@yahoo.com,B,196,13,YAYASAN PERGURUAN KRISTEN METHODIST IMMANUEL PERDAGANGAN,KAB. SIMALUNGUN,KEC. BANDAR,JL.GEREJA NO.62 PERDAGANGAN
10213688,SD SWASTA RK PARDOMUAN NAULI,,sdrk_pnauli@yahoo.com,A,130,9,YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,DUSUN III DESA CINTA DAMAI
10258860,SDS KARYA BHAKTI,0616610993,ypkaryabhakti@gmail.com,B,317,13,,KOTA MEDAN,KEC. MEDAN BARAT,JL. KARYA UJUNG
10210522,SDS TRI JAYA,0617348383,yayasan.trijya@yahoo.co.id,B,89,6,YAYASAN PERGURUAN TRI JAYA,KOTA MEDAN,KEC. MEDAN DENAI,JL.BROMO NO.204 MEDAN
70000175,SD SWASTA IT AL-HAKIM,085373096193,sditalhakimpasarx@gmail.com,A,164,11,YAYASAN PERGURUAN ISLAM AL-HAKIM,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. MEDAN BATANG KUIS PASAR X BANDAR KLIPPA NO. 77
70005128,SD PEKERTI BANGSA,8440138,sekolahpekertibangsa@gmail.com,A,162,10,YAYASAN PENDIDIKAN PEKERTI BANGSA,KOTA MEDAN,KEC. MEDAN HELVETIA,JL T. AMIR HAMZAH NO.C38
10220732,SDS KATOLIK MARIANA,,sdskatolikmariana@gmail.com,B,80,9,YAYASAN PENDIDIKAN KATOLIK MARIANA MEDAN,KOTA MEDAN,KEC. MEDAN HELVETIA,JL. KAPTEN MUSLIM
69830466,SD ISLAM TERPADU ZAHARA,,sdislamterpaduzahara59@gmail.com,C,102,10,YAYASAN PENDIDIKAN RH,KAB. LANGKAT,KEC. SEI LEPAN,JL. PASAR PIPA NO 9
10260947,SD SWASTA ISLAM TERPADU AL IHYA,062231292,sdit.alihya@gmail.com,A,680,46,YAYASAN PENDIDIKAN AL IHYA,KAB. BATU BARA,KEC. SEI SUKA,JL. SAWO NO 1 TANJUNG GADING
10210690,SD SWASTA NAMIRA,0618217871,sdsnamira@gmail.com,A,613,24,YAYASAN FAJAR DIINUL ISLAM,KOTA MEDAN,KEC. MEDAN SELAYANG,JL. SETIA BUDI PASAR I NO 76
10220772,SDS NO. 100725 MUHAMMADIYAH BATANGTORU,082275063065,rahmawatibtb07@gmail.com,C,97,11,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. TAPANULI SELATAN,KAB. TAPANULI SELATAN,KEC. BATANG TORU,JLN. SISINGAMANGARAJA WEK III
70032019,SD SWASTA YONESTA,081361464032,syonesta@gmail.com,,72,6,,KAB. LANGKAT,KEC. SEI BINGAI,SIMP. NAMOTONGAN
10213598,SD SWASTA CERDAS BANGSA,,sd_cerdasbangsa@yahoo.com,B,252,20,YAYASAN PENDIDIKAN CERDAS BANGSA,KAB. DELI SERDANG,KEC. NAMO RAMBE,JL. TITI KUNING - NAMO RAMBE PSR IV GEDUNG JOHOR NO. 30 SIDOREJO
10259262,SDS HKBP P.BRAYAN,085262109287,hkbpbrayan@gmail.com,B,89,12,YAYASAN PERGURUAN SMP HKBP P.BRAYAN,KOTA MEDAN,KEC. MEDAN TIMUR,JL.ASRAMA NO 4
70050823,SD IT NURUL FADILLAH,083838498671,sditnurulfadillah@gmail.com,,75,5,YAYASAN PENDIDIKAN ISLAM NURUL FADILLAH PERDAMAIAN,KAB. LANGKAT,KEC. BINJAI,JL.NUSA INDAH NO.13
10202843,SD SWASTA RIAMA SIBUNTUON,081263047159,sdriama116@gmail.com,C,,0,YAYASAN PENDIDIKAN RIAMA,KAB. SIMALUNGUN,KEC. DOLOK PARDAMEAN,SIBUNTUON
10258857,SD SWASTA MUHAMMADIYAH GUNUNGSITOLI,063921970,sdswastamuhammadiyahgunungsito@gmail.com,B,175,15,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA GUNUNG SITOLI,KOTA GUNUNGSITOLI,KEC. GUNUNGSITOLI,JLN.KARET NO.24 GUNUNGSITOLI
10200724,SD SWASTA KATOLIK SEI BERAS SEKATA,085264736646,sd_katolik_sbs@yahoo.co.id,B,123,10,YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN,KAB. DELI SERDANG,KEC. SUNGGAL,DUSUN II SEI BERAS SEKATA
69978872,SD SWASTA RADEN ADJENG KARTINI,,,B,82,12,YAYASAN RADEN ADJENG KARTINI PERCUT SEI TUAN,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL.PAYANIBUNG DUSUN IX DESA DALU SEPULUH B KEC.TANJUNG MORAWA
60725259,SDS IT NURUL FAJAR,,sditnurulfajarnurulfajar@gmail.com,C,52,8,YAYASAN NURUL FAJAR,KAB. DELI SERDANG,KEC. PATUMBAK,JL. PERTAHANAN DUSUN IV GG. MESJID
10259615,SD ISLAM TERPADU DARUL FIKRI,081376495412,sditdftanbe@gmail.com,B,523,58,YAYASAN PERGURUAN ISLAM TERPADU TARBIYATUL AULAD DARUL FIKRI,KOTA TANJUNG BALAI,KEC. DATUK BANDAR,JL. ANWAR IDRIS LK.IV
10261867,SD SWASTA PERMATA BANGSA,0618829090,sbnppermatabangsa19@gmail.com,A,327,26,YAYASAN PERMATA BANGSA,KOTA BINJAI,KEC. BINJAI BARAT,JL. GATOT SUBROTO NO. 98
69986186,SD SWASTA ISLAM TERPADU RIYADHUL HABIBI,,,B,231,12,YAYASAN RAUDHATUSH SHOLIHIN HABIBI,KAB. SERDANG BEDAGAI,KEC. PERBAUNGAN,JL. KEBUN MELATI LINGKUNGAN I
10210632,SDS HARAPAN 1,0614515661,sd1harapan@yahoo.com,A,277,24,YAYASAN PENDIDIKAN HARAPAN,KOTA MEDAN,KEC. MEDAN MAIMUN,JL. IMAM BONJOL NO. 35
70023677,SD SWASTA IT MIFTAHUL ILMI,081360108611,sdislamterpadumiftahulilmi@gmail.com,A,187,10,YAYASAN MIFTAHUL ILMI,KAB. SIMALUNGUN,KEC. PEMATANG BANDAR,PEKAN KERASAAN
10259506,SD KITA TORGANDA,081371428803,sdswastakita@yahoo.com,A,278,18,YAYASAN ABDI KARYA,KAB. LABUHANBATU UTARA,KEC. AEK KUO,PT TORGANDA PERK. TAHUAN GANDA
69900659,SD BINTANG SERGAI,08527201491,sdswastabintang16@gmail.com,B,236,17,YPT. BINA GENERASI TANGGUH SERDANG BEDAGAI,KAB. SERDANG BEDAGAI,KEC. SEI RAMPAH,JALAN PUSKESMAS DSN III DESA SEI REJO
69963118,SD SWASTA ISLAM TERPADU ULI ARGA,081376936507,,B,176,13,FAUZUL ULI ARGA,KAB. DELI SERDANG,KEC. PATUMBAK,JL. MAMBANG DIAWAN V NO. 08 DUSUN V
10213606,SD SWASTA GKPS SIBAGANDING,,sdsibaganding@yahoo.co.id,B,63,8,YAYASAN PENDIDIKAN GKPS,KAB. DELI SERDANG,KEC. BANGUN PURBA,DESA SIBAGANDING
10261471,SDS GLOBAL PRIMA,0614556090,yyspendglobalprima@yahoo.co.id,A,979,29,YAYASAN PERGURUAN TINGGI PRIMA INDONESIA,KOTA MEDAN,KEC. MEDAN MAIMUN,JL. BRIGJEND KATAMSO NO. 282-283 MEDAN
10215099,SD SWASTA AL-JAWAHIR,0618468611,madrasah.aljawahir@gmail.com,A,250,21,AL JAWAHIR ATTARBAWI,KAB. DELI SERDANG,KEC. SUNGGAL,JL. PERSATUAN I NO. 30
69982593,SD ISLAM TERPADU INDONESIA,085270344242,siti.sundutantig@gmail.com,B,124,8,YAYASAN IVAN ISKANDAR INSTITUTE,KAB. MANDAILING NATAL,KEC. NATAL,JL. LINTAS PANTAI BARAT TELUK BALAI SUNDUTAN TIGO
10209002,SD SW. SANTO THOMAS 3 PALIPI,,sdswastastthomas3palipi@disdiksamosir.org,A,269,14,YAYASAN PENDIDIKAN KATOLIK SANTO YOSEPH MEDAN,KAB. SAMOSIR,KEC. PALIPI,PALIPI
69981518,SD SWASTA ISLAM AL FATIH,,sdislamalfatih2014@gmail.com,B,341,22,AJYAL ISLAM CENDIKIA,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,JLN. SULTAN SERDANG GG. HARAPAN DUSUN IX
10257901,SDS NANYANG ZHI HUI,0614534528,nanyangzh@yahoo.com,A,164,20,YAYASAN PENDIDIKAN NANYANG INDONESIA,KOTA MEDAN,KEC. MEDAN BARU,JL ABDULLAH LUBIS NO.15
70056964,SDIT AR RAHMAH ISLAMIC SCHOOL,,,,,5,YAYASAN AR RAHMAH ISLAMIC SCHOOL,KOTA BINJAI,KEC. BINJAI SELATAN,JL. SEI BANGKATAN NO.172 BINJAI
10258046,SDS METHODIST 9,085261221008,hartatymanurung@gmail.com,B,128,7,YAYASAN PENDIDIKAN GEREJA METHODIST INDONESIA WILAYAH I,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL TADUAN NO 114
69886453,SD SWASTA ISLAM AL-GHOFARI,082164753443,sdalghofari@gmail.com,C,211,14,YAYASAN PERGURUAN ALGHOFARI,KOTA MEDAN,KEC. MEDAN DELI,JALAN PLATINA V LINGK XII
10220639,SD AD DAKWAH,0621442047,yayasan.sdaddakwah@yahoo.co.id,B,361,21,YAYASAN AD-DAKWAH,KAB. SERDANG BEDAGAI,KEC. SEI BAMBAN,JL GEMPOLAN PASAR I KIRI
10260886,SD SWASTA SINAR PEMBAHARUAN HIDUP,081397581027,sdsinarpembaharuan@yahoo.co.id,B,110,11,YAYASAN SINAR PEMBAHARUAN HIDUP,KOTA MEDAN,KEC. MEDAN DELI,JL. KAWAT III GG. PADI TOOL MULIA VII NO. 8
70024569,SD IT KHOIRUL ILMI,,khoirulilmi85@gmail.com,C,66,6,YAYASAN KHOIRUL ILMI,KAB. DELI SERDANG,KEC. BANGUN PURBA,"DUSUN III, TANJUNG PURBA"
10257871,SDS AL WASHLIYAH 27,087716581364,alwashliyah.12327@gmail.com,B,77,9,,KOTA MEDAN,KEC. MEDAN DELI,JL. PALTINA 1 SIMPANG  DOBI
10205536,SD SWASTA DIVISI III PADANG HALABAN,081370570660,sddivisi3padanghalaban@gmail.com,B,31,10,PAUD HARAPAN BANGSA,KAB. LABUHANBATU UTARA,KEC. AEK KUO,DIVISI III PADANG HALABAN
70031100,SD SWASTA UMUM SENTOSA,,sdswastaumumsentosa@gmail.com,,167,10,YAYASAN PERGURUAN UMUM SENTOSA 1986,KAB. ASAHAN,KEC. BANDAR PASIR MANDOGE,JL. BENJAMIN DUSUN V
70043897,SD SWASTA DELISHA 2,,,,36,8,YAYASAN PENDIDIKAN DELISHA,KAB. DELI SERDANG,KEC. HAMPARAN PERAK,JL. PACITAN DUSUN VI
10220635,SD S ALWASHLIYAH PAYA LOMBANG,085161464518,sdpayalombang@gmail.com,B,48,6,AL-WASHLIYAH,KAB. SERDANG BEDAGAI,KEC. TEBING TINGGI,PSR III
70034479,SDIT AL IRMA SOVRINA,0618467381,sdit.alirmasovrina@gmail.com,,65,14,YAYASAN PENDIDIKAN DAN KEMAKMURAN AL IRMA SOVRINA,KOTA MEDAN,KEC. MEDAN SUNGGAL,JL RAJAWALI NO 44 B
10257644,SDS PESANTREN GUPPI,085261526771,sdspesantrenguppi@gmail.com,B,4,8,YAYASAN SD SWASTA PESANTREN GUPPI,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL. LETDA SUJONO NO. 270 / JL. BARU NO. 4
69967632,SD IT AR-RIDHA,085296255511,yayasanarridhadusunteladan@gmail.com,B,279,17,YAYASAN AR-RIDHA DUSUN TELADAN,KAB. LANGKAT,KEC. TANJUNG PURA,JL.TERUSAN DUSUN TELADAN
10210318,SDS AMIR HAMZAH,0614528167,amirhamzahsch@yahoo.com,B,21,4,SD SWASTA AMIR HAMZAH,KOTA MEDAN,KEC. MEDAN PETISAH,JL MERANTI NOMOR 1 MEDAN
69775681,SDS IT ALAM FATHIMMATURRIDHO ASAHAN,085296377787,sdita.asahan@gmail.com,C,39,14,FATHIMATURRIDHO,KAB. ASAHAN,KEC. AIR JOMAN,JL. PROTOKOL  NO.85 B
69888756,SD IT MULIA,081370150719,sdit.mulia_langkat@yahoo.com,B,87,8,YAYASAN PENDIDIKAN MULIA SECURAI,KAB. LANGKAT,KEC. BABALAN,JLN. MEDAN-P.BRANDAN KM.77 SECURAI UTARA
69980497,SD SWASTA FILADELFIA SCHOOL,081262999937,filadelfiasch.karo@gmail.com,B,179,7,YAYASAN FILADELFIA BENIH ILAHI,KAB. KARO,KEC. MERDEKA,JL. UDARA UJUNG.
70039294,SD IT AL MINAH,,,B,178,12,YAYASAN PENDIDIKAN AL MINAH,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JALAN SEMAR GANG YUDISTIRA
10257637,SDS HKBP PARDAMEAN,06166932345,sdshkbppardamean@gmail.com,B,80,6,YAYASAN SD-SMP HKBP PARDAMEAN MEDAN,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL.PARDAMEAN NO 94 A MEDAN
10259672,SD SWASTA RK SETIA BUDI ( BUDI MURNI-6),0616620467,sdrksetiabudi@gmail.com,A,491,29,YAYASAN PERGURUAN KATOLIK DON BOSCO KEUSKUPAN AGUNG MEDAN,KOTA MEDAN,KEC. MEDAN PERJUANGAN,JLN PELITA V NO. 1
69985205,SD SWASTA SOLA FIDE SCHOOL,081396306688,yaspensolafide.2019@gmail.com,B,75,10,YAYASAN SOLA FIDE SCHOOL,KOTA MEDAN,KEC. MEDAN TUNTUNGAN,"JL. BUNGA NCOLE NO. 4, 5, 6 KOMPLEKS DGARDENIA"
10210683,SD SWASTA METHODIST 2 MEDAN,0614563662,sdsmethodist2mdn@gmail.com,A,622,40,YAYASAN PENDIDIKAN KRISTEN METHODIST THAMRIN,KOTA MEDAN,KEC. MEDAN KOTA,JL. M.H. THAMRIN NO. 96
