NPSN,Nama Sekolah,Bentuk,Telpon,Email,Naungan,Kabupaten,Kecamatan,Alamat
70028707,SDS ISLAM AL-KAUTSAR,SD,0818422757,sdialkautsarr@gmail.com,,KAB. SAMPANG,KEC. KEDUNGDUNG,DUSUN MANGGAR
69943439,SDI KHADIJAH,SD,085232786884,sdi.khadijah.sukorejo@gmail.com,DA'WATUL HASANAH,KAB. NGANJUK,KEC. LOCERET,JL MERAPI NO 2 DUSUN BESUK DESA SUKOREJO KECAMATAN LOCERET
69984257,SD ISLAM NU PAPAR,SD,085655684255,sdislamnupapar@gmail.com,YAYASAN DARUL HIKAM PAPAR,KAB. KEDIRI,KEC. PAPAR,JL. GG. MASJID BAITURROHMAN NO. 1 DSN. CANGKIREJO DS. MADURETNO
20554706,SDIT ULUL ALBAB,SD,,ululalbab.ngjk@gmail.com,YAYASAN ULUL ALBAB NGANJUK,KAB. NGANJUK,KEC. LOCERET,JL. MERAPI IV GANG BENGKEL
20532991,SD ISLAM SAROJA,SD,0318431576,sditsaroja@gmail.com,MASJID ROUDHOTUL JANNAH SURABAYA,KOTA SURABAYA,KEC. TENGGILIS MEJOYO,KUTISARI UTARA I/15
69831483,SD ISLAMIC INTERNASIONAL SCHOOL-PSM GROGOL,SD,0354773715,iis.kediri@gmail.com,YAYASAN PERGURUAN ISLAM PESANTREN SABILIL MUTTAQIEN (Y.P.I - P.S.M),KAB. KEDIRI,KEC. GROGOL,"JL. MADURA NO. 10, DS. GROGOL, GROGOL"
20574778,SD ISLAM TERPADU AL IBROHIMI,SD,081357050396,alibrohimisdit@gmail.com,YAYASAN USHULUL HIKMAH AL IBROHIMI,KAB. GRESIK,KEC. MANYAR,JL. PP. AL IBROHIMI 01/40 MANYAREJO
20554002,SD ISLAM AL BALYA,SD,082139818557,sdialbalya@gmail.com,AL BALYA AL AMIN,KAB. BANGKALAN,KEC. LABANG,SENDANG DAYA
20514021,SD AR RAHMAN,SD,0358551263,arrahmankertosono@yahoo.co.id,YAYASAN AR-RAHMAN DR SOETOMO,KAB. NGANJUK,KEC. KERTOSONO,JL. RAYA NO. 9 NGLAWAK KERTOSONO
20533901,SD ISLAM AL HIKMAH,SD,0341808216,sdislam_alhikmah@yahoo.com,AL HIKMAH,KOTA MALANG,KEC. SUKUN,JL. KOL. SUGIONO  GG. VIII NO.50
20539953,SD ISLAM WAHID HASYIM,SD,0318945268,sdiwahidhasyimsekardangan@gmail.com,YAYASAN PENDIDIKAN WAHID HASYIM,KAB. SIDOARJO,KEC. SIDOARJO,JL. JOGOYUDHO NO.81
69984678,SD BERLIAN,SD,085171692955,sdberlian.plaosan@gmail.com,TUNAS MELATI MAGETAN,KAB. MAGETAN,KEC. PLAOSAN,"JL. RAYA MIGIT 08/01, PLAOSAN"
69773499,SD ISLAM TEBUIRENG IR. SOEDIGNO,SD,081230913339,sditebuireng@gmail.com,YAYASAN KYAI HAJI MUHAMMAD HASYIM ASY'ARI,KAB. JOMBANG,KEC. KESAMBEN,DS. KESAMBEN
20577840,SD ISLAM TERPADU DARUL FALAH,SD,0321862462,sditdarulfalah1234@gmail.com,YAYASAN DARUL FALAH CUKIR,KAB. JOMBANG,KEC. DIWEK,"JL. MASJID JAMI ROUDLOTUL ARIFIN RT/RW : 003/004, DS CUKIR, KEC.DIWEK"
20549294,SD INTEGRAL YAA BUNAYYA,SD,083861703182,yaabunayya.blitar01@gmail.com,YAYASAN ISTIQLAL HIDAYATULLAH,KAB. BLITAR,KEC. SANANKULON,JALAN LINTAS BLITAR TULUNGAGUNG
69787579,SD WAHIDIYAH,SD,085784424467,sekolahwahidiyah717@gmail.com,PERJUANGAN WAHIDIYAH DAN PONDOK PESANTREN KEDUNGLO KEDIRI,KAB. TULUNGAGUNG,KEC. KARANGREJO,JALAN SUMBER BIRU RT 2 / RW 2 SUKOREJO
69727024,SD ISLAM ABDILLAH,SD,082330714792,sdiabdillah123@gmail.com,YAYASAN ISLAM DARUL AKROM,KAB. BANGKALAN,KEC. GEGER,DUSUN TENGGIN DESA KOMPOL
20518710,SD ISLAM SUNAN AMPEL,SD,0341807003,sunanampelsdi@gmail.com,YAYASAN ATH-THORIQ,KAB. MALANG,KEC. WAGIR,MENDALANWANGI
20525038,SD KATOLIK MARIA FATIMA,SD,0331487886,sdkmf_jbr@yahoo.com,PERKUMPULAN DHARMAPUTRI,KAB. JEMBER,KEC. KALIWATES,JL. KARTINI 24
20547264,SDI INSAN KAMIL,SD,0356331988,sdislam.insankamil@gmail.com,BINA INSAN KAMIL,KAB. TUBAN,KEC. TUBAN,JL. MUTIARA DESA KEMBANGBILO
20531855,SD AL - HUDA,SD,081803166301,sd.alhuda32@gmail.com,YAYASAN PENDIDIKAN MA'ARIF NU AL HUDA,KOTA SURABAYA,KEC. MULYOREJO,JL. KALISARI DAMEN NO. 32
69973362,SDI LITTLE CAMEL,SD,03215285999,littlecamelelementaryschool@gmail.com,FADHILAH AL-MUNAWWIR,KOTA MOJOKERTO,KEC. KRANGGAN,JL. IRIAN JAYA NO. 2 RT. 06/RW. 03 MOJOKERTO
20539878,SD MUHAMMADIYAH 2 TAMAN,SD,0317877760,sdmuhsepanjang@ymail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. SIDOARJO,KAB. SIDOARJO,KEC. TAMAN,JL. HUSEIN IDRIS 14
20501904,SDS MAARIF NU NGABAN,SD,0318056932,sdmaarifnungaban@gmail.com,BPPPMNU CABANG KAB. SIDOARJO,KAB. SIDOARJO,KEC. TANGGULANGIN,JL. RAYA NGABAN NO. 23
20548346,SD KRISTEN ALETHEIA,SD,0333845701,sekolahkristenaletheiagtg@gmail.com,YAYASAN KRISTEN ALETHEIA INDONESIA,KAB. BANYUWANGI,KEC. GENTENG,JL. KH. WACHID HASYIM NO.87
20501133,SD MUHAMMADIYAH 2 BALONGPANGGANG,SD,08388312008,sdm2blpg@yahoo.co.id,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. GRESIK,KAB. GRESIK,KEC. BALONG PANGGANG,JL. JAMBU NO. 46
20525014,SDS KRISTEN PHILIA,SD,033688133,sdskristenphilia@gmail.com,EKKLESIA,KAB. JEMBER,KEC. AMBULU,JL. PENDIDIKAN NO.22
20555708,SD ISLAM TERPADU PERMATA,SD,082228325776,sditpermata@gmail.com,YAYASAN ISHLAHUL UMMAH PROBOLINGGO,KAB. PROBOLINGGO,KEC. KRAKSAAN,PERUM JATI ASRI 2 BLOK DD 10
69761937,SD ISLAM DARUL FALAH AL MAHALLI,SD,081297510817,sdidarulfalahalmahalli77@gmail.com,YAYASAN DARUL FALAH AL MAHALLI,KAB. SITUBONDO,KEC. MLANDINGAN,JL. K. SAFRAN NO. 03 DUSUN SEMEK
20532986,SD ISTIQBAL,SD,5011418,sdistiqbal27@gmail.com,YAYASAN MASJID ISTIQBAL,KOTA SURABAYA,KEC. WONOKROMO,JL.NGAGEL REJO II / 27
69755335,SDS ISLAM MIFTAHUL ULUM BANYUATES,SD,082334026323,sdsmiftahululum003@gmail.com,YAYASAN PENDIDIKAN ISLAM AR ROHMAN OLOR,KAB. SAMPANG,KEC. BANYUATES,DSN. OLOR
20577491,SD ISLAM AL FURQON,SD,085228450799,ahsanunnasihalfurqon@gmail.com,AL FURQON PAKUNIRAN,KAB. PROBOLINGGO,KEC. PAKUNIRAN,DUSUN KRAJAN RT 03 RW 01
70045985,SD ISLAM AL FIRDAUS,SD,085173449604,nufa.tahfidz19@gmail.com,YAYASAN PENDIDIKAN DAN SOSIAL NURUL FALAH,KAB. MOJOKERTO,KEC. PURI,DUSUN UNGGAHAN RT. 02 RW. 08
20533913,SD KRISTEN PETRA,SD,0341352669,sdkrpetra53@yahoo.com,YBPK PETRA MALANG,KOTA MALANG,KEC. KLOJEN,JL.PROF.MOH.YAMIN SH NO.53
20554775,SD MUHAMMADIYAH 1 KEDUNGGALAR,SD,085234767538,sdmuhsaka@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. NGAWI,KAB. NGAWI,KEC. KEDUNGGALAR,SUMBERAGUNG JATIGEMBOL KEDUNGGALAR NGAWI
70012419,SDS ISLAM JAUHIRUL FURQON,SD,,,YAYASAN JAUHIRUL FURQON,KAB. SAMPANG,KEC. KETAPANG,DUSUN SUMBER LANGGAR
20518713,SDIT YA BUNAYYA,SD,081234516680,sdityabuanyya@gmail.com,YAYASAN PERSYADA AL HAROMAIN SURABAYA,KAB. MALANG,KEC. PUJON,JL . ABDUL MANAN WIJAYA 141
20554378,SD ISLAM AL HADAD SINGGAHAN,SD,081231263600,sdi.alhadad@gmail.com,AL MUBAAROKAH,KAB. TUBAN,KEC. SINGGAHAN,JL. RA. KARTINI NO. 17
20549300,SDI KREATIF ZAID BIN TSABIT,SD,081282940855,sdi_kreatif_zaidbintsabit@yahoo.co.id,ZAID BIN TSABIT PANATARAN,KAB. BLITAR,KEC. NGLEGOK,JL. A. YANI RT 01 RW 01 LINGKUNGAN NGLEGOK 1 KELURAHAN NGLEGOK
20554927,SD ISLAM AL KHAIRIYAH,SD,417104,alkhairiyahsdislam@gmail.com,YAYASAN PERGURUAN ISLAM AL-KHAIRIYAH BANYUWANGI,KAB. BANYUWANGI,KEC. BANYUWANGI,JL. KAPTEN ILYAS 47
20539072,SD DARUL FALAH SURABAYA,SD,085735573031,sd.islam.darulfalah1990@gmail.com,YAYASAN PENDIDIKAN DARUL FALAH,KOTA SURABAYA,KEC. KENJERAN,JL. KALILOM LOR I/25
20549886,SDS PLUS AL MUBAROKAH,SD,03367719419,sdplusalmubarokah@gmail.com,AL MUBAROKAH,KAB. JEMBER,KEC. GUMUK MAS,PANGGUL MELATI DESA KEPANJEN
70047211,SDS ISLAM AS-SYAKUR,SD,085231706613,,YAYASAN PENDIDIKAN DAN SOSIAL AS - SYAKUR,KAB. SAMPANG,KEC. TAMBELANGAN,DUSUN SABIAN
20533125,SD KHADIJAH 3,SD,0317400487,sdkh3sby@gmail.com,YAYASAN TAMAN PENDIDIKAN DAN SOSIAL NAHDLATUL ULAMA KHADIJAH,KOTA SURABAYA,KEC. SAMBI KEREP,JL.RAYA LONTAR CANDI LEMPUNG 2-4
70031231,SD SURABAYA GRAMMAR SCHOOL II,SD,08113566551,sgs.grandpakuwon@gmail.com,YAYASAN LAI SUHARTONO,KOTA SURABAYA,KEC. TANDES,JL. BANJAR MUTIARA ASRI NO. 1C (LAMA: JL. BANJAR NUSA INDAH V)
20518732,SDS ISLAM SANANREJO,SD,0341827969,sdislam.sananrejo@gmail.com,AL MAARIF,KAB. MALANG,KEC. TUREN,JL. KH WACHID HASYIM  NO. 10
20564338,SD NURUL JADID,SD,511977,nuruljadid.sdi@gmail.com,YAYASAN BANI ASZAR,KAB. SUMENEP,KEC. BATANG-BATANG,JL. RAYA BATUPUTIH NO. 30
20515693,SD ISLAM BAYANUL AZHAR,SD,081334745208,bayanul_azhar@yahoo.com,YASASAN PONDOK PESANTREN BAYANUL AZHAR,KAB. TULUNGAGUNG,KEC. SUMBERGEMPOL,SUMBERGEMPOL
70060819,SDS ISLAM IBNU ALY,SD,,,AL-IMAMIYAH,KAB. SAMPANG,KEC. BANYUATES,DUSUN JUAMPET TIMUR
20554919,SD ISLAM AL ISLAH,SD,081249956037,sdialislah@gmail.com,AL ISHLAH BANYUWANGI,KAB. BANYUWANGI,KEC. GENTENG,JL. PRING SEJUTA DUSUN KALIPUTIH
20554517,SD KATOLIK SANTA MARIA,SD,0354397224,santamariapare@gmail.com,YOHANNES GABRIEL,KAB. KEDIRI,KEC. PARE,JL. LETJEN SUTOYO NO. 78 PARE
70001575,SD ISLAM PERMATA MOJOSARI MOJOKERTO,SD,081386478811,sdipermatamojosari@gmail.com,YAYASAN PERMATA MOJOSARI MOJOKERTO,KAB. MOJOKERTO,KEC. MOJOSARI,DUSUN MENANGGAL RT. 007 RW. 001
20526093,SD ISLAM DARUL FAIZIN,SD,082145110230,sdi.darulfaizin@gmail.com,YAPIS DARUL FAIZIN,KAB. BANYUWANGI,KEC. GIRI,JL. KH. SHONHADJI ROSYIDI NO.03
20534219,SDK SANTA MARIA MADIUN,SD,0351464083,st_maria1@yahoo.com,YOHANNES GABRIEL,KOTA MADIUN,KEC. TAMAN,JL. COKROAMINOTO 127
20574772,SD ISLAM AL-BAISUNY,SD,081231409061,sdialby@gmail.com,YAYASAN BANY SUYUTY AL BAISUNY,KAB. BANGKALAN,KEC. KOKOP,JL. KH.SUYUTHI LANTAKAN
20526017,SD KATOLIK SANTO IGNATIUS,SD,0333593792,sdkstignatiusmuncar@gmail.com,YAYASAN KARMEL,KAB. BANYUWANGI,KEC. MUNCAR,JL. RAYA MUNCAR NO 8
20501903,SD MUHAMMADIYAH 2 SIDOARJO,SD,0318966695,sdamada@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. SIDOARJO,KAB. SIDOARJO,KEC. SIDOARJO,JL PASAR JETIS 28
20532974,SD PRAJA MUKTI SURABAYA,SD,085704369688,sdprajamukti20532974@gmail.com,PERKUMPULAN PENGELOLA PENDIDIKAN PRAJAMUKTI SURABAYA (P3PMS),KOTA SURABAYA,KEC. TEGAL SARI,WONOREJO 4 NO. 45 SURABAYA
20539089,SD KATOLIK STELLA MARIS SURABAYA,SD,0313538643,stellamarisjaya@gmail.com,PERKUMPULAN DHARMAPUTRI,KOTA SURABAYA,KEC. BUBUTAN,JL. TEMBAAN 18-22 SURABAYA
20541294,SD SANTA LORENT,SD,0313813826,santa_lorent@yahoo.co.id,YAYASAN PENDIDIKAN SANTA LORENT,KOTA SURABAYA,KEC. MULYOREJO,JL. KALIJUDAN MADYA II / 7
20548437,SD ISLAM M. ISHAK BIN RAMZAN,SD,844279,sdiramzan@yahoo.co.id,YAYASAN AL-MABRUR,KAB. PROBOLINGGO,KEC. KRAKSAAN,JL. SUNAN KUDUS NO.09
20554812,SD ISLAM ISYHAR,SD,0358792953,sdiisyhar@gmail.com,YAYASAN ISLAM SYAFI'IYAH HAJI ARIF GROMPOL,KAB. NGANJUK,KEC. PRAMBON,GROMPOL
69788564,SDI AL FALAH,SD,087849656755,sdialfalah@yahoo.com,,KAB. BANGKALAN,KEC. KONANG,DUSUN SERPANG DESA DURIN TIMUR
20534692,SD ISLAM PLUS AL AZHAR,SD,383333,sdipalazharmjk@gmail.com,YAYASAN AL-AZHAR MOJOKERTO,KOTA MOJOKERTO,KEC. MAGERSARI,JL. AL-AZHAR KEDUNDUNG MAGERSARI
69888547,SDI RAUDLATUL ULUM,SD,087849645488,zain_albab@yahoo.com,RAUDLATUL ULUM,KAB. BANGKALAN,KEC. KONANG,KMP. PARSEH DS. SAMBIYAN
70056773,SD AL UBAIDAH,SD,,,AL UBAIDAH,KAB. NGANJUK,KEC. KERTOSONO,DS. TEMBARAK KEC. KERTOSONO KAB. NGANJUK
69979585,SD MUHAMMADIYAH INOVATIF,SD,082244942498,sdm.inovatifmlarak@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. PONOROGO,KAB. PONOROGO,KEC. MLARAK,JL. RAYA JABUNG - MLARAK
20502305,SD MAARIF KETEGAN,SD,0317872310,sdmaarifketegan@yahoo.co.id,LEMBAGA PENDIDIKAN MA'ARIF,KAB. SIDOARJO,KEC. TAMAN,JL. RAYA KETEGAN NO. 31
20531836,SD AISYAH SURABAYA,SD,0315344595,syahroniaisyah@gmail.com,YAYASAN PENDIDIKAN ISLAM AISAH,KOTA SURABAYA,KEC. GENTENG,JL. PENELEH IX/23
20574432,SD ISLAM BABUS SALAM,SD,087851047702,sdibabussalam@yahoo.com,YAYASAN DARUS SALAM SUMBER PAKOH,KAB. BANGKALAN,KEC. GEGER,DUSUN SUMBER PAKU
20526998,SD KATOLIK SANTO REDEMPTUS,SD,0324322841,sdk.redemptus@yahoo.com,YAYASAN KARMEL,KAB. PAMEKASAN,KEC. PADEMAWU,JL. STADION NO. 172
69889018,SDI. AL - MANAR,SD,085203932642,sdialmanar2020@gmail.com,AL MANAR,KAB. SUMENEP,KEC. BATANG-BATANG,DS. TOTOSAN KEC. BATANG - BATANG
70008688,SD ISLAM AN NAHL,SD,081240005957,sdiislamannahl2019@gmail.com,YAYASAN TAMAN AN NAHL,KAB. SIDOARJO,KEC. TAMAN,JL. BRINGINBENDO NO 2 RT 03 RW 01 TAMAN
70043134,SD ISLAM AL-GHAFFAAR,SD,0812345540003,sdialghaffaar@gmail.com,YAYASAN ISLAM AHLUSSUNNAH WALJAMAAH ALGHAFFAAR,KAB. MALANG,KEC. DAU,JALAN RAYA SENGKALING NO. 285 RT. 1 RW. 3
20533909,SD MUHAMMADIYAH 01,SD,0341366133,muh1.1927@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA MALANG,KOTA MALANG,KEC. KLOJEN,JL. KAWI NO. 7
20521337,SD ISLAM AL - ASNA BARAT,SD,085235135966,sdialasna@gmail.com,YPSI AL-ASNA,KAB. LUMAJANG,KEC. PADANG,DS. BARAT
69786797,SDS ISLAM AL - AMIEN,SD,081330974799,sdialamien797@gmail.com,YAYASAN AL-AMIEN,KAB. SAMPANG,KEC. KARANGPENANG,JL. BATES DUSUN
69948432,SD MUHAMMADIYAH 1 PADAS,SD,,sdmuhammadiyah1padas@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. NGAWI,KAB. NGAWI,KEC. PADAS,JL. RAYA NGAWI - CARUBAN KM 13 DS KEDUNGPRAHU
70012844,SD AL-QURAN NAHWAN NUR,SD,082133117177,adm.sdqu@gmail.com,DARUSSALAM CEWENG,KAB. JOMBANG,KEC. DIWEK,DUSUN SAMBISARI RT. 002 RW. 002 DESA CEWENG
69981121,SDI AL-HAJARIYAH,SD,082337216003,sdi.alhajariyah@gmail.com,AL HAJARIYAH,KAB. SUMENEP,KEC. RUBARU,DESA BASOKA
20536990,SDIT YAA BUNAYYA,SD,0318971791,sdit_yb@yahoo.com,YPSI AL-HUDA,KAB. GRESIK,KEC. WRINGIN ANOM,SIDOWARAS
20533907,SD MARGO BASUKI 01,SD,0341357495,margobasuki1.sd@gmail.com,YAYASAN THARIQATUSSALAM,KOTA MALANG,KEC. KLOJEN,JL. JAKSA AGUNG SUPRAPTO I / 22A
20574122,SDS NU NURUL ISLAM,SD,,sdnuris909@gmail.com,NURUL ISLAM AS-SHODIQI,KAB. JEMBER,KEC. BALUNG,JL. BANGSALSARI NO 4 PERSIL KARANGSEMANDING
20532839,SDI AL - FALAH SURABAYA,SD,0315996444,sdialfalahjaya01@gmail.com,YAYASAN ZAINUL FALAH,KOTA SURABAYA,KEC. SUKOLILO,JL. MEDOKAN SEMAMPIR MASJID NO. 42
20554654,SD ISLAM BAITURRAHMAN,SD,085232055535,sdislambaiturrahman@yahoo.co.id,YAYASAN BAITUR RAHMAN TREBUNGAN,KAB. SITUBONDO,KEC. MLANDINGAN,JL. KH. ABDUL QADIR NO. 03
69786393,SDS MUTIARA HATI,SD,0352486775,mutiarahati.elementaryschool@gmail.com,YAYASAN MUTIARA HATI BUNDA PERMATA,KAB. PONOROGO,KEC. PONOROGO,JL. KALIMANTAN NO. 69 PONOROGO
20518731,SD YBPK WONOREJO,SD,085748206172,sdsybpk@gmail.com,YAYASAN BADAN PENDIDIKAN KRISTEN GREJA KRISTEN JAWI WETAN,KAB. MALANG,KEC. BANTUR,JL. RAMBUTAN RT.02 / RW.01
20533130,SD MANDALA,SD,0313765926,sd.mandala@yahoo.com,YAYASAN PENDIDIKAN CHANDRADIMUKA,KOTA SURABAYA,KEC. TAMBAKSARI,POTROAGUNG II NO 6
70062164,SD AGFA GLOBAL SCHOOL,SD,,,,KAB. PONOROGO,KEC. PONOROGO,JL. DR SUTOMO 72
60729047,SDS ISLAM IHYA ULUMUDDIN,SD,085230304465,faqih.husein@gmail.com,YAYASAN NURUL HIDAYAH AL KHOSEN,KAB. PAMEKASAN,KEC. KADUR,DS. KADUR
20549055,SDIT NURUL FIKRI,SD,0355332829,sdit_nurulfikri47@yahoo.co.id,YAYASAN PELITA UMAT TULUNGAGUNG,KAB. TULUNGAGUNG,KEC. KEDUNGWARU,JL. DR. WAHIDIN SUDIROHUSODO GG. MASJID ALI NO 4-7
20574063,SD ISLAM SABILILLAH,SD,085258897532,sdisabilillah01@gmail.com,SABILILLAH,KAB. JOMBANG,KEC. DIWEK,DS. CUKIR GG II
69755807,SD NAHDLATUL ULAMA,SD,085624060343,sdnu3kdr@gmail.com,AL FATTAH BINA TARUNA NUSANTARA,KAB. KEDIRI,KEC. GURAH,JL. IMAM BONJOL NO.270 RT/RW. 001/003
70055340,SEKOLAH DASAR ISLAM TAHFIDZ AL MUBAROKAH,SD,085735185717,sdit.almubarokah.boro@gmail.com,YAYASAN PENDIDIKAN ISLAM AL MUBAROKAH BORO,KAB. TULUNGAGUNG,KEC. KEDUNGWARU,DUSUN BORO RT.03/RW.06 DESA BORO
69819411,SDS ISLAM NURUL BAROKAH,SD,082334862127,sdi.nurulbarokah@gmail.com,YAYASAN PENDIDIKAN DAN SOSIAL NURUL BAROKAH,KAB. JEMBER,KEC. SUMBERBARU,JL LANASAN GELANG
69882326,SDIT DARUSSALAM,SD,,,HADLONAH DARUSSALAM,KAB. PONOROGO,KEC. MLARAK,JL. FLORES RT 01 RW 02 DESA JORESAN
69775577,SDS ISLAM TAHFIDZ BAITUL QURAN,SD,331126,sditbaitulquran@yahoo.com,YAYASAN RUMAH TAHFIDZ BAITUL QUR'AN,KAB. TULUNGAGUNG,KEC. KEDUNGWARU,JL. KHR ABDUL FATTAH NO. 4 MANGUNSARI KEDUNGWARU TULUNGAGUNG
70064489,SDI AZIZAH GENGGONG,SD,,,,KAB. PROBOLINGGO,KEC. PAJARAKAN,DUSUN GROJOGAN
20526741,SDI MATSARATUL HUDA PAMEKASAN,SD,087791720289,sdimatsaratulhuda@gmail.com,YAYASAN PENDIDIKAN PONDOK PESANTREN MATSARATUL HUDA,KAB. PAMEKASAN,KEC. PAMEKASAN,JL. KANGENAN GG. PESANTREN 1
70006442,SD WAHIDIYAH LAWANG,SD,085172023717,sdwa.lawang@gmail.com,PERJUANGAN WAHIDIYAH DAN PONDOK PESANTREN KEDUNGLO KEDIRI,KAB. MALANG,KEC. LAWANG,JALAN INSPOL SOEWOTO RT. 02 RW. 04
69962540,SD INTENSIF AL-MUSTHOFA,SD,085230537714,intensifalmusthofa@gmail.com,YAYASAN PESANTREN ISLAM DAN SOSIAL AL MUSTHOFA,KAB. BANYUWANGI,KEC. MUNCAR,JL. RAYA SUMBERAYU
20540376,SD ISLAM INSAN CENDEKIA,SD,,sdiicpacitanaja@gmail.com,YAYASAN AL - ISLAM PACITAN,KAB. PACITAN,KEC. PACITAN,JL SUMATRA NO.4 BLEBER
20555403,SD MUHAMMADIYAH 1 SINE,SD,,sdmuh.sine@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. NGAWI,KAB. NGAWI,KEC. SINE,"JL. PH. KERTONEGORO NO. 4, RT. 05/RW. 01, GEDANGAN"
20526033,SD MUHAMMADIYAH 15,SD,081234530973,sdmuh15sumberasri@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. BANYUWANGI,KAB. BANYUWANGI,KEC. PURWOHARJO,DUSUN GEBANGKANDEL RT. 01 RW. 03
69755808,SD PLUS AN-NUR,SD,081335388651,sdplusannur@gmail.com,LPPM ANNUR,KAB. KEDIRI,KEC. GURAH,BABADAN-SUMBERCANGKRING
20535106,SD ISLAM SUKOREJO,SD,03428171327,sdi_sukorejo@yahoo.co.id,YAYASAN MA'ROEF ZAINUDDIN BLITAR,KOTA BLITAR,KEC. SUKOREJO,JL. MANGGAR NO. 43 BLITAR
70040735,SD ISLAM ULUMUL QUR AN SUFI,SD,085122086645,ulumulquransufi@gmail.com,YAYASAN ULUMUL QURAN SUFI,KAB. MALANG,KEC. GONDANGLEGI,JALAN SUMBERMANIS RT. 11 RW. 2
20503900,SD ISLAM AL MUNAWIR,SD,081336026329,almunawir.pedes@gmail.com,YAYASAN AL MUNAWIR PEDES JOMBANG,KAB. JOMBANG,KEC. PERAK,DUSUN PEDES
69830193,SD KR. SHINING STAR,SD,082231487871,admnsklhshnngstr@gmail.com,SEJAHTERA KITA,KOTA MALANG,KEC. KLOJEN,JL. KELUD NO.14
20576763,SDI MISBAHUS SHUDUR,SD,087750565007,sdimisbahusshudur@gmail.com,YAYASAN MISBAHUS SHUDUR,KAB. PAMEKASAN,KEC. LARANGAN,DUSUN TORON SAMALEM
70032941,SDI NURUL HIDAYAH,SD,,,YAYASAN NURUL HIDAYAH APAL,KAB. SUMENEP,KEC. ARJASA,DSN. APAL DESA ANGKATAN
69978242,SDS ISLAM AL - KHOIRIYAH,SD,081357637664,mohrafkahidayatullah@gmail.com,YAYASAN AL-HOIRIYAH,KAB. SAMPANG,KEC. CAMPLONG,JL. RAYA TADDAN
69829534,SDS ISLAM AZ - ZAHRA,SD,081937283111,sdiazzahra@gmail.com,AL-FURQON TANJUNG,KAB. SAMPANG,KEC. CAMPLONG,JL. IDAMAN NO. 1 DESA DHARMA TANJUNG
70058301,SD ISLAM SEPUTIH,SD,082333813632,sdiseputih@gmail.com,YAYASAN PENDIDIKAN ISLAM DAN SOSIAL NURUL FATAH SEPUTIH,KAB. JEMBER,KEC. MAYANG,JL. SUMBER WADUNG DUSUN SUMBER JEDING
69963658,SD MIFTAHUL ULUM,SD,083849843597,miftahululumsd@gmail.com,YAYASAN PONDOK PESANTREN MIFTAHUL ULUM,KAB. GRESIK,KEC. MENGANTI,TLOGOBEDAH RT. 008 RW. 004 HULAAN MENGANTI GRESIK
69886242,SDIT PERMATA,SD,,sdit.permata1@gmail.com,AL MADANI,KAB. LUMAJANG,KEC. CANDIPURO,JL. JEND. SUDIRMAN NO. 059
20569647,SDIT AL MUNAWWIR,SD,085731941547,sditalmunawwir@gmail.com,AL - MUNAWWIR,KAB. SIDOARJO,KEC. TARIK,DS KEDUNGBOCOK
70000866,SD SAMPOERNA ACADEMY,SD,33234234,sdsampoernaacademy.sby@gmail.com,YAYASAN PUTERA SAMPOERNA,KOTA SURABAYA,KEC. WIYUNG,JL.LONTAR PAKUWON INDAH NO.KAVLING TANAH PK 01-10
20566131,SD ISLAM AL-HIKMAH,SD,03171301999,al.hikmahoke@gmail.com,YAYASAN PONDOK PESANTREN AL-HIKMAH,KAB. GRESIK,KEC. MENGANTI,DUSUN KAJAR GADINGWATU MENGANTI
20519483,SD KATOLIK PANTI PARAMA,SD,0343631768,pantiparamas@yahoo.co.id,YAYASAN KARMEL,KAB. PASURUAN,KEC. PANDAAN,JL ACHMAD YANI 70
69788252,SDS ISLAM BABUSSALAM,SD,085235683266,wewi.babussalam@yahoo.co.id,BABUS SALAM,KAB. BANGKALAN,KEC. KONANG,DESA DURIN BARAT
20554520,SD IT NURUL ISLAM,SD,081515161426,sditnurisparekediri@mail.com,YAYASAN NURUL ISLAM PARE KEDIRI,KAB. KEDIRI,KEC. PARE,JL FLORES
69786625,SD MUHAMMADIYAH 3 SUKOMORO,SD,08883509645,sdmuh3sukma@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. MAGETAN,KAB. MAGETAN,KEC. SUKOMORO,"JL. KH. AHMAD DAHLAN RINGROAD TIMUR KM 1 BARAT KEDUNGGUWO, SUKOMORO"
20529687,SD ISLAM AL FURQAN,SD,081931085743,sdialfurqan@ymail.com,MISHBAHUL MUNIR,KAB. SUMENEP,KEC. PRAGAAN,JL. MAKAM ARJEMMA NO. 3 DANDAN PRAGAAN DAJA
